Iteration,C Execution Time (s),Assembly Execution Time (s)
1,0.9430s,1.2860s
2,0.6020s,0.5780s
3,0.6420s,0.6100s
4,0.5970s,0.5890s
5,0.5950s,0.5820s
6,0.6290s,0.6080s
7,0.6200s,0.6260s
8,0.5770s,0.5740s
9,0.5740s,0.5760s
10,0.6260s,0.6170s
11,0.5720s,0.5830s
12,0.5740s,0.5830s
13,0.5910s,0.5720s
14,0.5900s,0.5850s
15,0.5960s,0.5950s
16,0.6300s,0.6620s
17,0.6620s,0.6270s
18,0.6210s,0.6760s
19,0.5610s,0.6290s
20,0.6260s,0.6030s
21,0.5820s,0.6160s
22,0.5780s,0.6070s
23,0.6140s,0.6600s
24,0.6200s,0.6360s
25,0.6020s,0.5740s
26,0.5940s,0.5750s
27,0.5910s,0.5860s
28,0.5860s,0.5730s
29,0.5850s,0.5710s
30,0.5790s,0.5760s
Average,0.6120s,0.6245s
